,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
2951,Let the Old Folks Die,2017,6.5,,64.0,64.0,Drama,"Director:Juri Steinhart| Stars:Max Hubacher, Christoph Gaugler, Jessy Moravec, Dimitri Stapfer"
2952,Satan Said Dance,2017,3.9,,286.0,286.0,Drama,"Director:Katarzyna Roslaniec| Stars:Tygo Gernandt, Marta Nieradkiewicz, Bartosz Gelner, Izabela Kuna"
2953,65th,2017,3.5,,71.0,71.0,"Mystery, Thriller","Director:M. Shawn Cunningham| Stars:Michael Grayson, Amanda DoSsa Doss, Akilah N. Kamau, Crystal Jasmin"
2954,Yeti Obhijaan,2017,4.3,,855.0,855.0,"Adventure, Thriller","Director:Srijit Mukherji| Stars:Prasenjit Chatterjee, Aryann Bhowmick, Alexx O'Nell, Ferdous Ahmed"
2955,Baumschlager,2017,4.7,,85.0,85.0,Comedy,"Director:Harald Sicheritz| Stars:Thomas Stipsits, Gerti Drassl, Meyrav Feldman, Moran Rosenblatt"
2956,Stars,2017,5.5,,321.0,321.0,"Biography, Drama, Sport","Director:Jan Kidawa-Blonski| Stars:Mateusz Kosciukiewicz, Sebastian Fabijanski, Karolina Szymczak, Magdalena Cielecka"
2957,Kitchen. The Last Battle,2017,6.4,,1180.0,1180.0,Comedy,"Director:Anton Fedotov| Stars:Dmitriy Nazarov, Dmitriy Nagiev, Sergey Lavygin, Mikhail Tarabukin"
2958,Love and Other Cults,2017,6.1,,340.0,340.0,"Comedy, Drama","Director:Eiji Uchida| Stars:Sairi Itô, Kenta Suga, Kaito Yoshimura, Hidenobu Abera"
2959,Carpinteros,2017,7.0,68.0,583.0,583.0,Drama,"Director:José María Cabral| Stars:Jean Jean, Ramón Emilio Candelario, Judith Rodriguez Perez, Fernando De Jesús Mejía"
2960,Qaidi Band,2017,6.1,,492.0,492.0,"Drama, Music","Director:Habib Faisal| Stars:Anna Ador, Sachin, Anya Singh, Ashi Singh"
2961,To Die with Honor,2017,6.3,,139.0,139.0,"Action, History, War","Director:Feng Gao| Stars:Qihu An, Yunjin Cao, Denis Chernov, Shaune Diop"
2962,On Happiness Road,2017,7.2,,688.0,688.0,"Animation, Adventure, Drama","Director:Hsin Yin Sung| Stars:Gwei Lun-Mei, Te-Sheng Wei, Bor-Jeng Chen, Hui-Jen Liao"
2963,Damat Kogusu,2017,6.5,,323.0,323.0,"Crime, Drama","Director:Ilker Savaskurt| Stars:Ibrahim Akoz, Zülfü Hamit Altin, Turgay Atalay, Baris Atay"
2964,Hooker with a Hacksaw,2017,2.9,,146.0,146.0,Horror,"Director:Donald Farmer| Stars:Kasper Meltedhair, Jason Crowe, Colleen Herkert, Steve Guynn"
2965,Amityville Exorcism,2017,2.0,,2115.0,2115.0,Horror,"Director:Mark Polonia| Stars:Marie DeLorenzo, Jeff Kirkendall, James Carolus, Steve Diasparra"
2966,Toofan Singh,2017,6.9,,148.0,148.0,"Action, Biography, History","Directors:Baghal Singh, Naseeb Sngh, Gurcharan Virk| Stars:Ranjit Bawa, Daman Singh, Sukhbir Singh Batth, Sunita Dhir"
2967,The Novelist,I2017,8.2,,67.0,67.0,Comedy,"Director:Laurent Boulanger| Stars:Paul Dawber, Helen Miller, Albert Goikhman, Stephanie Van Rekum Ayres"
2968,Mahi NRI,2017,6.1,,88.0,88.0,"Comedy, Drama","Director:Gaurav Bavdankar| Stars:Harrdy Sandhu, Poppy Jabbal, Rameet Kaur, Gurpreet Ghuggi"
2969,Nay,2017,6.1,,10.0,10.0,"Drama, Horror","Director:Kip Oebanda| Stars:Enchong Dee, Sylvia Sanchez, Jameson Blake, Madeleine Humphries"
2970,"Worst Case, We Get Married",2017,6.4,,214.0,214.0,Drama,"Director:Léa Pool| Stars:Alexandrine Agostini, Mohcine Besri, Brithany Bolduc, L.G. Breton"
2971,Loving in Tandem,2017,6.4,,169.0,169.0,"Comedy, Romance","Director:Giselle Andres| Stars:Maymay Entrata, Edward Barber, Kisses Delavin, Marco Gallo"
2972,The Big Gay Hangover,2017,,,,,Comedy,"Director:Henderson Maddox| Stars:Hanifah Ali, Ben Bladin, Stevie Darnell, Kash Dinero"
2973,Success Story,2017,4.5,,250.0,250.0,"Comedy, Crime, Drama","Director:Nicos Perakis| Stars:Constantine Markoulakis, Fiona Georgiadi, Panos Mouzourakis, Tonia Sotiropoulou"
2974,Motorrad,2017,4.6,,355.0,355.0,"Horror, Thriller","Director:Vicente Amorim| Stars:Guilherme Prates, Carla Salle, Emilio Dantas, Pablo Sanábio"
2975,The Spearhead Effect,2017,5.0,,289.0,289.0,Thriller,"Directors:Brandon Moore, Caleb Alexander Smith| Stars:Darlene Vogel, Caleb Alexander Smith, Alex McArthur, Jaime Gallagher"
2976,Far til fire på toppen,2017,3.3,,197.0,197.0,"Action, Comedy, Family","Director:Martin Miehe-Renard| Stars:Laura Lavigné Bie-Olsen, Martin Brygmann, Anne Sofie Espersen, Thomas Frank"
2977,Kurt Josef Wagle og mordmysteriet på Hurtigruta,2017,4.9,,294.0,294.0,"Comedy, Horror","Director:Stig Frode Henriksen| Stars:Maria Bock, Ørjan Gamst, Daniel Berge Halvorsen, Stig Frode Henriksen"
2978,Taksim Hold'em,2017,6.7,,1377.0,1377.0,"Comedy, Drama","Director:Michael Onder| Stars:Kenan Ece, Damla Sönmez, Berk Hakman, Emre Yetim"
2979,Murder Made Easy,2017,5.4,,194.0,194.0,"Comedy, Drama, Thriller","Director:David Palamaro| Stars:Jessica Graham, Christopher Soren Kelly, Daniel Ahearn, Emilia Richeson"
2980,Los resucitados,2017,3.4,,38.0,38.0,"Fantasy, Horror","Director:Arturo De Bobadilla| Stars:Paul Naschy, Tony Fuentes, Antonio Mayans, Angélica Revert"
2981,Tékasztorik,2017,5.9,,768.0,768.0,Comedy,"Directors:Martin Csaba, Kala Czupi| Stars:Viktória Bihari, Imre Csuja, Nóra Görbe, Martin Csaba"
2982,Tangent Room,2017,4.6,,424.0,424.0,"Mystery, Sci-Fi, Thriller","Director:Björn Engström| Stars:Lisa Bearpark, Daniel Epstein, Håkan Julander, Jennifer Lila"
2983,The Letter Box,2017,6.6,,15.0,15.0,Drama,"Director:Baris Kirimselioglu| Stars:Mustafa Arikan, Öner Ates, Ismail Demirci, Tugce Karabacak"
2984,Death-Scort Service Part 2: The Naked Dead,2017,5.0,,85.0,85.0,Horror,"Director:Sean Donohue| Stars:Krystal Pixie Adams, Bob Glazier, Katie McKinley, Eight The Chosen One"
2985,Inference Notes,2017,5.9,,97.0,97.0,"Crime, Drama, Mystery","Director:Tianhui Zhang| Stars:Duling Chen, Shao-Wen Hao, Julie, Shih-Chieh King"
2986,Mantan,2017,6.5,,21.0,21.0,"Drama, Romance","Directors:Svetlana Dea, Achmad Romie| Stars:Gandhi Fernando, Luna Maya, Citra Scholastika, Kimberly Ryder"
2987,Isolani,2017,7.1,,72.0,72.0,"Crime, Drama","Director:R. Paul Wilson| Stars:Kate McLaughlin, Catriona Evans, Jim Sweeney, Gianni Capaldi"
2988,Mustang Island,2017,6.2,,580.0,580.0,Comedy,"Director:Craig Elrod| Stars:Macon Blair, Lee Eddy, John Merriman, Molly Karrasch"
2989,Mater,2017,4.7,,252.0,252.0,Drama,"Director:Pablo D'Alo Abba| Stars:Lautaro Perotti, Tamara Kiper, Inda Lavalle, Araceli Dvoskin"
2990,The Midnight Man,2017,3.5,,337.0,337.0,"Comedy, Horror, Thriller","Director:Aitor Uribarri| Stars:Ken Foree, Wendie Weldon, Tommy Day Carey, Tony D. Czech"
2991,Two Faced,2017,4.4,,28.0,28.0,Horror,"Director:Johnny Kearns| Stars:Jacqui Holland, Tony Todd, Daniel Baldwin, Kristina Anapau"
2992,Daybreak,2017,6.9,,151.0,151.0,Drama,"Director:Gentian Koçi| Stars:Ornela Kapetani, Suzana Prifti, Kasem Hoxha, Hermes Kasimati"
2993,Good Favour,2017,5.8,,126.0,126.0,"Drama, Mystery","Director:Rebecca Daly| Stars:Vincent Romeo, Lars Brygmann, Clara Rugaard, Alexandre Willaume"
2994,Red Venom Kills,2017,4.9,,197.0,197.0,Fantasy,"Director:Britton Stebbins| Stars:Alexa Pfaff, Deana Hernandez, Britton Stebbins, David Bonandrini"
2995,Beyond Words,2017,5.9,,447.0,447.0,Drama,"Director:Urszula Antoniak| Stars:Andrzej Chyra, Jakub Gierszal, Christian Löber, Justyna Wasilewska"
2996,Phantasm Extinction,2017,,,,,"Animation, Fantasy","Directors:Joshua Randell, A. Khedron de León| Stars:A. Khedron de León, Clarinda Hambrick, Kenneth V. Jones, Zachary Keane"
2997,29 + 1,2017,6.7,,560.0,560.0,"Comedy, Drama, Fantasy","Director:Kearen Pang| Stars:Chrissie Chau, Joyce Cheng, Babyjohn Choi, Benjamin Yeung"
2998,Pannam Pathinonnum Seyum,2017,,,,,Drama,"Director:Jaya Krishnan| Stars:Yog Japee, Alisha Khan, Karate Raja"
2999,Kid West,2017,6.6,,107.0,107.0,"Adventure, Family, Western","Director:Jesse Mast| Stars:Mary Bair, Ashley Rose Montondo, Atquetzali Quiroz, Lorenzo Reyes"
3000,Zim High,2017,,,,,Comedy,"Director:Tatenda Mbudzi| Stars:Rick Cosnett, Michael Gunning, Tatenda Mbudzi, Shaun Mundawarara"
3001,Sweet Twenty,2017,7.2,,435.0,435.0,"Comedy, Fantasy, Music","Director:Ody C. Harahap| Stars:Tatjana Saphira, Niniek L. Karim, Morgan Oey, Kevin Julio"
3002,By Any Means,2017,4.0,,1703.0,1703.0,"Crime, Drama, Mystery","Director:Leighton Spence| Stars:Thomas Gipson, Brooke Burfitt, Michelle Money, Jonathan Cheban"
3003,Holden On,2017,6.3,,157.0,157.0,"Biography, Drama","Director:Tamlin Hall| Stars:Matthew Fahey, Ross Thomas, Steve C Ellis, Kelly Finley"
3004,4N1K,2017,4.9,,2305.0,2305.0,Comedy,"Director:Deniz Coskun| Stars:Gözde Mutluer, Hasan Denizyaran, Burak Yörük, Cihan Simsek"
3005,Bubblegum,2017,7.4,,1370.0,1370.0,Drama,"Director:Stanislav Todorov Rogi| Stars:Teodora Duhovnikova, Diana Dimitrova, Vladimir Zombori, Valentin Ganev"
3006,American Jihadist,V) (2017,7.5,,502.0,502.0,"Drama, History, Thriller","Directors:Dianna Collett, Paul Collett| Stars:Heather Fields, Paul Collett, Libby Clearfield, Dianna Collett"
3007,Top Coat Cash,2017,5.0,,814.0,814.0,"Action, Crime, Drama","Director:David Tittone| Stars:David Tittone, Jason Turner, Rich Zvosec, Katrina Ann Volonnino"
3008,Can We Still Be Friends?,2017,6.4,,96.0,96.0,Romance,"Director:Prime Cruz| Stars:Gerald Anderson, Arci Muñoz, Bryan Santos, Ria Atayde"
3009,Claw,2017,2.4,,141.0,141.0,Horror,"Director:David Palmieri| Stars:Justin Pavia, Tina Krause, Lina Tanille, Anthony Edward Curry"
3010,Road to Mars,2017,5.6,,935.0,935.0,"Adventure, Comedy, Drama","Director:Humberto Hinojosa Ozcariz| Stars:Luis Gerardo Méndez, Tessa Ia, Camila Sodi, Andrés Almeida"
3011,20 Weeks,2017,5.0,,190.0,190.0,"Drama, Romance","Director:Leena Pendharkar| Stars:Richard Riehle, Michelle Krusiec, Jocelin Donahue, Amir Arison"
3012,An Israeli Love Story,2017,6.4,,120.0,120.0,"Drama, History","Director:Dan Wolman| Stars:Adi Bielski, Avraham Aviv Alush, Alex Ansky, Idan Barkai"
3013,Prism,2017,6.0,,42.0,42.0,"Comedy, Drama, Romance","Directors:Luis Alarcon, Grant Lancaster, Lee Peterkin, Doug Roland, Corey Scott Rutledge, Roberto Serrini, Nick Snow| Stars:Anthony DeVito, Jessica DiGiovanni, Kristin Dougherty, Mark Garkusha"
